time,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2026-06-30 07:00:00,29.2,76,24.6,1000.1,0.0,28,19.0,251,44.3
2026-06-30 08:00:00,29.8,73,24.5,1000.2,0.0,38,19.8,251,47.5
2026-06-30 09:00:00,30.4,70,24.3,1000.5,0.1,63,20.9,249,50.8
2026-06-30 10:00:00,30.9,67,24.1,1000.9,0.2,100,20.3,247,50.8
2026-06-30 11:00:00,30.7,69,24.3,1000.7,0.2,97,19.4,248,50.0
2026-06-30 12:00:00,31.3,66,24.1,1000.5,0.0,39,18.9,243,47.9
2026-06-30 13:00:00,32.3,61,23.9,1000.0,0.0,51,18.9,239,48.6
2026-06-30 14:00:00,31.8,63,23.8,999.5,0.0,67,19.3,234,49.0
2026-06-30 15:00:00,31.4,66,24.2,999.0,0.1,65,20.2,231,51.1
2026-06-30 16:00:00,31.1,68,24.6,998.4,0.2,77,19.0,237,50.4
2026-06-30 17:00:00,31.6,61,23.3,998.4,0.2,66,18.9,248,47.2
2026-06-30 18:00:00,30.8,65,23.5,998.4,0.0,21,18.6,247,46.8
2026-06-30 19:00:00,30.0,70,24.0,998.3,0.0,47,18.4,238,45.0
2026-06-30 20:00:00,29.7,73,24.5,998.7,0.1,13,18.2,236,42.5
2026-06-30 21:00:00,29.6,75,24.6,999.3,0.0,19,18.8,240,43.9
2026-06-30 22:00:00,29.4,76,24.7,1000.2,0.0,25,18.1,245,44.3
2026-06-30 23:00:00,29.3,77,24.8,1000.1,0.0,36,17.1,253,38.9
2026-07-01 00:00:00,29.1,78,24.8,999.8,0.0,23,16.0,249,36.7
2026-07-01 01:00:00,28.9,79,24.9,999.7,0.0,35,15.3,251,34.6
2026-07-01 02:00:00,28.7,80,24.9,999.2,0.0,39,15.5,252,33.1
2026-07-01 03:00:00,28.7,80,25.0,999.0,0.0,23,15.3,257,33.1
2026-07-01 04:00:00,28.5,82,25.1,998.7,0.0,39,15.3,261,33.1
2026-07-01 05:00:00,28.5,85,25.6,998.5,0.0,38,15.4,263,32.4
2026-07-01 06:00:00,28.5,84,25.6,998.6,0.0,27,14.9,257,32.4
2026-07-01 07:00:00,28.9,82,25.5,998.9,0.0,38,15.4,259,36.0
2026-07-01 08:00:00,29.8,77,25.3,999.1,0.1,58,17.0,254,41.0
2026-07-01 09:00:00,30.6,71,24.8,999.4,0.1,59,18.2,252,44.3
2026-07-01 10:00:00,31.2,69,24.8,999.3,0.1,99,18.8,249,46.4
2026-07-01 11:00:00,31.1,69,24.8,999.4,0.1,100,18.0,245,47.9
2026-07-01 12:00:00,31.3,68,24.8,999.2,0.0,56,18.0,242,45.7
2026-07-01 13:00:00,31.8,67,24.9,998.6,0.1,93,18.2,237,46.8
2026-07-01 14:00:00,31.3,69,25.1,998.0,0.3,85,18.0,236,46.4
2026-07-01 15:00:00,31.3,70,25.1,997.7,0.1,50,18.0,236,45.7
2026-07-01 16:00:00,31.2,70,25.1,997.2,0.1,60,17.4,237,46.1
2026-07-01 17:00:00,31.4,69,25.0,997.1,0.2,38,16.4,239,43.9
2026-07-01 18:00:00,30.4,74,25.3,997.1,0.2,71,16.4,234,41.4
2026-07-01 19:00:00,29.9,78,25.5,997.3,0.1,48,17.8,230,42.5
2026-07-01 20:00:00,29.6,80,25.8,997.9,0.2,29,17.2,235,42.1
2026-07-01 21:00:00,29.4,81,25.8,998.9,0.0,20,16.3,241,41.4
2026-07-01 22:00:00,29.2,83,26.0,999.8,0.0,18,14.8,248,40.7
2026-07-01 23:00:00,29.6,80,25.8,999.5,0.0,34,14.0,246,32.4
2026-07-02 00:00:00,29.3,81,25.6,999.5,0.0,20,13.3,245,30.6
2026-07-02 01:00:00,29.2,81,25.6,999.4,0.0,48,13.4,248,28.8
2026-07-02 02:00:00,28.8,84,25.8,999.0,0.1,65,13.2,248,28.4
2026-07-02 03:00:00,28.7,85,25.9,998.8,0.1,30,12.7,259,28.4
2026-07-02 04:00:00,28.6,86,26.0,998.5,0.0,21,12.6,257,27.0
2026-07-02 05:00:00,28.6,87,26.3,998.4,0.0,47,12.1,255,27.7
2026-07-02 06:00:00,28.5,87,26.2,998.8,0.0,41,11.6,257,25.6
2026-07-02 07:00:00,29.0,84,26.1,999.3,0.0,26,11.8,254,29.5
2026-07-02 08:00:00,29.9,78,25.8,999.6,0.0,22,12.3,248,30.6
2026-07-02 09:00:00,30.7,74,25.5,999.9,0.2,75,13.7,237,34.9
2026-07-02 10:00:00,31.2,72,25.5,1000.4,0.1,41,14.0,233,36.4
2026-07-02 11:00:00,32.0,68,25.3,1000.3,0.2,59,15.1,237,40.3
2026-07-02 12:00:00,32.1,67,25.3,1000.1,0.1,45,15.7,236,41.0
2026-07-02 13:00:00,32.3,67,25.3,999.8,0.1,44,15.4,233,41.4
2026-07-02 14:00:00,32.4,66,25.3,999.4,0.0,35,15.9,231,41.8
2026-07-02 15:00:00,32.2,67,25.3,998.9,0.0,23,16.1,237,42.1
2026-07-02 16:00:00,31.8,68,25.1,998.3,0.1,65,16.5,236,42.5
2026-07-02 17:00:00,31.3,70,25.3,998.5,0.1,34,15.9,236,42.8
2026-07-02 18:00:00,30.6,73,25.2,999.0,0.0,33,13.8,239,39.6
2026-07-02 19:00:00,30.1,75,25.2,999.8,0.1,46,12.9,243,34.6
2026-07-02 20:00:00,29.6,79,25.5,1000.0,0.1,35,13.6,239,32.8
2026-07-02 21:00:00,29.4,81,25.8,1000.9,0.0,9,12.5,237,33.1
2026-07-02 22:00:00,29.3,81,25.8,1001.7,0.0,13,12.0,238,29.9
